Datetime,Water Level (m)
2024-05-20 00:00:00,0.3408447
2024-05-20 01:00:00,0.20252709
2024-05-20 02:00:00,0.089415416
2024-05-20 03:00:00,0.014368988
2024-05-20 04:00:00,-0.043022674
2024-05-20 05:00:00,-0.04704784
2024-05-20 06:00:00,0.15778139
2024-05-20 07:00:00,0.4125466
2024-05-20 08:00:00,0.63630974
2024-05-20 09:00:00,0.79141045
2024-05-20 10:00:00,0.87995225
2024-05-20 11:00:00,0.858982
2024-05-20 12:00:00,0.70183915
2024-05-20 13:00:00,0.5076893
2024-05-20 14:00:00,0.3654701
2024-05-20 15:00:00,0.25219053
2024-05-20 16:00:00,0.17129447
2024-05-20 17:00:00,0.107173465
2024-05-20 18:00:00,0.13536075
2024-05-20 19:00:00,0.3888136
2024-05-20 20:00:00,0.6341691
2024-05-20 21:00:00,0.8176919
2024-05-20 22:00:00,0.8956274
2024-05-20 23:00:00,0.8647786
2024-05-21 00:00:00,0.69215137
2024-05-21 01:00:00,0.52178437
2024-05-21 02:00:00,0.37541166
2024-05-21 03:00:00,0.25289735
2024-05-21 04:00:00,0.16355735
2024-05-21 05:00:00,0.08861447
2024-05-21 06:00:00,0.08458578
2024-05-21 07:00:00,0.36110988
2024-05-21 08:00:00,0.64997345
2024-05-21 09:00:00,0.8797426
2024-05-21 10:00:00,1.0146533
2024-05-21 11:00:00,1.0691187
2024-05-21 12:00:00,0.9669028
2024-05-21 13:00:00,0.7636429
2024-05-21 14:00:00,0.6044833
2024-05-21 15:00:00,0.4575773
2024-05-21 16:00:00,0.33566582
2024-05-21 17:00:00,0.24461634
2024-05-21 18:00:00,0.18431346
2024-05-21 19:00:00,0.28624615
2024-05-21 20:00:00,0.5670433
2024-05-21 21:00:00,0.8231436
2024-05-21 22:00:00,0.97027785
2024-05-21 23:00:00,1.0150815
2024-05-22 00:00:00,0.90777856
2024-05-22 01:00:00,0.7087971
2024-05-22 02:00:00,0.54719114
2024-05-22 03:00:00,0.40103844
2024-05-22 04:00:00,0.28683606
2024-05-22 05:00:00,0.19886291
2024-05-22 06:00:00,0.13605471
2024-05-22 07:00:00,0.24802054
2024-05-22 08:00:00,0.57389444
2024-05-22 09:00:00,0.86087674
2024-05-22 10:00:00,1.0536205
2024-05-22 11:00:00,1.1686021
2024-05-22 12:00:00,1.1517972
2024-05-22 13:00:00,0.9691496
2024-05-22 14:00:00,0.7669393
2024-05-22 15:00:00,0.61339813
2024-05-22 16:00:00,0.4792628
2024-05-22 17:00:00,0.37000254
2024-05-22 18:00:00,0.2829346
2024-05-22 19:00:00,0.24702437
2024-05-22 20:00:00,0.47106755
2024-05-22 21:00:00,0.75140345
2024-05-22 22:00:00,0.96790355
2024-05-22 23:00:00,1.0670482
2024-05-23 00:00:00,1.0453544
2024-05-23 01:00:00,0.86994576
2024-05-23 02:00:00,0.6863248
2024-05-23 03:00:00,0.5284285
2024-05-23 04:00:00,0.39220217
2024-05-23 05:00:00,0.28702182
2024-05-23 06:00:00,0.203239
2024-05-23 07:00:00,0.18192616
2024-05-23 08:00:00,0.46519867
2024-05-23 09:00:00,0.77969533
2024-05-23 10:00:00,1.0302408
2024-05-23 11:00:00,1.192997
2024-05-23 12:00:00,1.2627358
2024-05-23 13:00:00,1.1657254
2024-05-23 14:00:00,0.9432974
2024-05-23 15:00:00,0.76266724
2024-05-23 16:00:00,0.60916364
2024-05-23 17:00:00,0.48432162
2024-05-23 18:00:00,0.38318354
2024-05-23 19:00:00,0.30386862
2024-05-23 20:00:00,0.32800037
2024-05-23 21:00:00,0.61130166
2024-05-23 22:00:00,0.8919966
2024-05-23 23:00:00,1.0699855
2024-05-24 00:00:00,1.1236507
2024-05-24 01:00:00,1.0323904
2024-05-24 02:00:00,0.8371845
2024-05-24 03:00:00,0.66621196
2024-05-24 04:00:00,0.5123611
2024-05-24 05:00:00,0.38528168
2024-05-24 06:00:00,0.28694734
2024-05-24 07:00:00,0.21508712
2024-05-24 08:00:00,0.30634284
2024-05-24 09:00:00,0.64951706
2024-05-24 10:00:00,0.9624853
2024-05-24 11:00:00,1.1821092
2024-05-24 12:00:00,1.3195163
2024-05-24 13:00:00,1.3284495
2024-05-24 14:00:00,1.1540828
2024-05-24 15:00:00,0.9295109
2024-05-24 16:00:00,0.756945
2024-05-24 17:00:00,0.6077124
2024-05-24 18:00:00,0.4899967
2024-05-24 19:00:00,0.39310536
2024-05-24 20:00:00,0.33863947
2024-05-24 21:00:00,0.5006014
2024-05-24 22:00:00,0.8001409
2024-05-24 23:00:00,1.0479043
2024-05-25 00:00:00,1.1760384
2024-05-25 01:00:00,1.186924
2024-05-25 02:00:00,1.0306728
2024-05-25 03:00:00,0.83587706
2024-05-25 04:00:00,0.668122
2024-05-25 05:00:00,0.51910114
2024-05-25 06:00:00,0.40006933
2024-05-25 07:00:00,0.30737537
2024-05-25 08:00:00,0.2730835
2024-05-25 09:00:00,0.54484457
2024-05-25 10:00:00,0.87948084
2024-05-25 11:00:00,1.148163
2024-05-25 12:00:00,1.3325108
2024-05-25 13:00:00,1.4240143
2024-05-25 14:00:00,1.3504097
2024-05-25 15:00:00,1.1357874
2024-05-25 16:00:00,0.93121815
2024-05-25 17:00:00,0.76863176
2024-05-25 18:00:00,0.62876225
2024-05-25 19:00:00,0.5147126
2024-05-25 20:00:00,0.41802263
2024-05-25 21:00:00,0.3744035
2024-05-25 22:00:00,0.56917936
2024-05-25 23:00:00,0.84973425
2024-05-26 00:00:00,1.0489994
